UnidadeDptoResponsavel;NomeUnidadeDpto
104;Pro-reitoria de Graduação                                        
125;Centro de Estudo de Problemas Brasileiros                        
127;Centro de Ensino de Línguas                                      
200;Faculdade de Ciências Médicas                                    
201;Departamento de Patologia Clínica                                
202;Departamento de Pediatria                                        
203;Departamento de Psicologia Médica Psiquiatria                    
204;Departamento de Radiologia                                       
205;Departamento de Tocoginecologia                                  
206;Departamento de Saúde Coletiva                                   
207;Departamento de Neurologia                                       
208;Departamento de Oftalmo/Otorrinolaringologia                     
209;Departamento de Ortopedia e Traumatologia                        
211;Departamento de Farmacologia                                     
212;Departamento de Genética Médica                                  
213;Departamento de Medicina Legal                                   
214;Departamento de Anatomia Patológica                              
215;Departamento de Anestesiologia                                   
216;Departamento de Cirurgia                                         
217;Departamento de Clínica Médica                                   
232;Câmara de Pesquisa                                               
300;Faculdade de Engenharia Mecânica                                 
313;                                                                 
400;Faculdade de Engenharia de Alimentos                             
401;Departamento de Tecnologia de Alimentos                          
402;Departamento de Engenharia de Alimentos                          
403;Departamento de Alimentos e Nutrição                             
404;Departamento de Ciência de Alimentos                             
500;Faculdade de Engenharia Civil, Arquitetura e Urbanismo           
501;Departamento de Arquitetura e Construção                         
502;Departamento de Geotecnia e Transportes                          
503;Departamento de Saneamento e Ambiente                            
514;Departamento de Estruturas                                       
515;Departamento de Recursos Hídricos                                
519;Coordenadoria de Graduação em Arquitetura e Urbanismo            
600;Faculdade de Odontologia de Piracicaba                           
601;Departamento de Morfologia                                       
602;Departamento de Diagnóstico Oral                                 
604;Departamento de Prótese e Periodontia                            
605;Departamento de Ciências Fisiológicas                            
606;Departamento Odonto-Restauradora                                 
607;Departamento Odontologia Social                                  
700;Instituto de Biologia                                            
701;Departamento de Anat. Biologia Celular e Fisiol. e Biofísica     
702;Departamento de Biologia Celular                                 
703;Departamento de Bioquímica                                       
704;Departamento de Fisiologia e Biofísica                           
705;Departamento de Fisiologia Vegetal                               
706;Departamento de Genética, Evolução e Bioagentes                  
707;Departamento de Histologia e Embriologia                         
708;Departamento de Microbiologia e Imunologia                       
709;Departamento de Botânica                                         
710;Departamento de Parasitologia                                    
711;Departamento de Zoologia                                         
713;Coordenadoria de Graduação                                       
732;Departamento Biologia Vegetal                                    
733;Departamento Biologia Animal                                     
734;Departamento de Biologia Estrutural e Funcional                  
800;"Instituto de Física ""Gleb Wataghin""                              "
801;Departamento de Eletrônica Quântica                              
900;Instituto de Filosofia e Ciências Humanas                        
901;Departamento de Antropologia                                     
902;Departamento de História                                         
903;Departamento de Filosofia                                        
911;Departamento de Demografia                                       
912;Departamento de Sociologia                                       
915;Departamento de Ciência Política                                 
1001;Departamento de Matemática                                       
1002;Departamento de Matemática Aplicada                              
1003;Departamento de Estatística                                      
1100;Instituto de Química                                             
1113;Departamento de Química Analítica                                
1114;Departamento de Química Inorgânica                               
1115;Departamento de Química Orgânica                                 
1116;Departamento de Físico-Química                                   
1700;Instituto de Artes                                               
1701;Departamento de Artes Cênicas                                    
1702;Departamento de Música                                           
1703;Departamento de Artes Corporais                                  
1704;Departamento de Artes Plásticas                                  
1705;Departamento de Multimeios, Mídia e Comunicação                  
1723;Departamento de Cinema                                           
1800;Faculdade de Engenharia Química                                  
1802;Departamento de Engenharia de Sistemas Químicos                  
1900;Faculdade de Educação                                            
1901;Departamento de Psicologia Educacional                           
1902;Departamento de Metodologia de Ensino                            
1903;Departamento de Ciências Sociais na Educação                     
1904;Departamento de Políticas,Administração e Sistemas Educ.         
1905;Departamento de Filosofia e História da Educação                 
1907;Coordenadoria de Licenciaturas                                   
1926;Departamento de Educação,Conhecimento,Linguagem e Arte           
1927;Departamento de Ensino e Práticas Culturais                      
2100;Instituto de Estudos da Linguagem                                
2101;Departamento de Linguística                                      
2102;Departamento de Teoria Literária                                 
2103;Departamento de Linguística Aplicada                             
2200;Instituto de Geociências                                         
2202;Departamento de Metalogênese e Geoquímica                        
2213;Departamento de Geociências Aplicadas ao Ensino                  
2214;Coordenadoria de Graduação                                       
2215;Departamento de Geografia                                        
2216;Departamento de Geologia e Recursos Naturais                     
2300;Faculdade de Educação Física                                     
2301;Departamento de Ciências do Esporte                              
2302;Departamento Fundamentos Psico-sociais na Educação Física        
2303;Departamento de Estudos da Atividade Física Adaptada             
2304;Coordenadoria de Graduação                                       
2312;Departamento de Estudos do Lazer                                 
2313;Departamento de Educação Motora                                  
2600;Instituto de Economia                                            
2601;Departamento de Teoria Econômica                                 
2602;Departamento de Política e História Econômica                    
2800;Faculdade de Engenharia Agrícola                                 
2808;Coordenadoria de Pós-Graduação                                   
2900;Faculdade de Engenharia Elétrica e de Computação                 
2902;Departamento de Engenharia Comp. Automação Industrial            
3400;Instituto de Computação                                          
3410;Departamento de Sistemas de Computação                           
3411;Departamento de Sistemas de Informação                           
3412;Departamento de Teoria da Computação                             
3600;Faculdade de Ciências Aplicadas                                  
3700;Faculdade de Tecnologia  
3721;Faculdade de Tecnologia                                         
3800;Faculdade de Enfermagem                                      